,lat,lon,name,neighbor
122670238,34.0154968,-118.2933412,,"['6815190435', '122670235', '6821996771']"
122670239,34.0154961,-118.2947907,,"['6815190436', '6801414837', '122670241']"
122670241,34.0154974,-118.294906,,"['6815190437', '122670239', '6437589503']"
122670242,34.0155036,-118.295897,,"['2613073720', '2613073686', '6437589503', '6817387810']"
122670273,34.0125938,-118.2779542,,"['4015477526', '4015477525', '6805760710', '1732340069']"
122670276,34.013106,-118.2790957,,"['6471706819', '6819170170', '6805760710', '1837206579']"
122670296,34.015643,-118.2901251,,"['7424581948', '348121025']"
122684539,34.0132206,-118.2901046,,"['933924387', '348121025', '1855137491']"
122684540,34.0132222,-118.2915021,,"['4020099349', '4020099352', '6792034222']"
122684563,34.0132256,-118.2959148,,"['6815190440', '6815190441', '123053765', '123058551']"
122717003,34.0141327,-118.2933266,,"['6815190435', '123053761', '123053763']"
122719048,34.0273082,-118.2969887,,"['6807599907', '6807599921', '1771004860', '122719050']"
122719050,34.0273082,-118.2980908,,"['6807599913', '2613117887', '122719048']"
122719184,34.0217624,-118.2706468,,"['122719187', '6807241409', '4012726925', '4012726924']"
122719187,34.0222664,-118.2717647,,"['122719184', '6817197864', '4011837224', '4011837223']"
122719192,34.0227554,-118.2728612,,"['6817197856', '122719195', '123254964', '122814237']"
122719195,34.0229767,-118.2733469,,"['122814240', '122719192', '1732340070']"
122719201,34.0239907,-118.275611,,"['5680945548', '6819288803', '214470964']"
122719205,34.0250489,-118.2780079,,"['6813565292', '6813565296', '6813565294', '6813565297']"
122719207,34.0257246,-118.2797221,,"['6813379406', '7071032408']"
122719210,34.0262218,-118.2808571,,"['6813565290', '6813379407']"
122719213,34.0266817,-118.2817845,,"['6813379508', '6813379506', '6813379506', '6813379510']"
122719216,34.027404,-118.2839814,,"['6813405229', '6813405232', '6813405231', '6813405233', '7360410739']"
122719255,34.0274206,-118.2850757,,"['441895335', '441895695', '2613117893', '7591500905']"
122719259,34.0274322,-118.2882363,,"['2613117895', '2613117861', '6807243574', '6807374562']"
122719268,34.027173,-118.2937357,,"['7811301934', '2613117905', '6813405227']"
122719270,34.0271706,-118.294828,,"['7811301934', '122719273', '2613117870', '2613117896']"
122719273,34.027157,-118.2959209,,"['122719270', '1771004834', '2613117897']"
122719280,34.0277681,-118.2916942,,"['6813416155', '6808069737']"
122719282,34.0277599,-118.2937331,,"['7771782314', '2613117884', '2613117905']"
122740027,34.0275647,-118.2669489,,"['6818460809', '6818460807', '1837212926']"
122740031,34.0280435,-118.268008,,"['6805824916', '7864610981', '4011837233', '4011837231']"
122740034,34.028528,-118.2690539,,"['6816288741', '5680945544', '5680945545', '6816288739', '6816288743']"
122740185,34.0319473,-118.2766985,,"['6816179442', '7021856886']"
122779111,34.0220363,-118.2944101,,"['1473199433', '6807907876', '6814958401']"
122779114,34.0209646,-118.2944339,,"['1473199433', '6816819731', '123195187', '1771091137']"
122814232,34.0231346,-118.2698037,,"['122814235', '123120160', '4060096188']"
122814235,34.0236036,-118.270906,,"['122814232', '122814237', '4011837225', '4011837226']"
122814237,34.0240705,-118.2719843,,"['122814235', '122814240', '122719192', '2935827801']"
122814240,34.0243039,-118.27251,,"['122814237', '122814241', '122719195']"
122814241,34.0246648,-118.2733005,,"['122814240', '6813513567']"
122814384,34.0249382,-118.2734611,,"['7197964035', '3663661787']"
122814397,34.0264851,-118.2768952,,"['6813513565', '6807556387']"
122814435,34.0260891,-118.2773482,,"['6813565312', '6813565311', '6813565313']"
122814440,34.0277432,-118.2810824,,"['6813416163', '7200139036', '6813416161', '6813416162']"
122814447,34.0289489,-118.283965,,"['6813416123', '4015377689', '6813416159']"
122814468,34.0295951,-118.2916985,,"['6813416141', '6805743836']"
122814472,34.029569,-118.2959172,,"['6808183461', '2514541118', '122935689']"
122817160,34.0271851,-118.2685603,,"['122817161', '6816895139', '4011837231', '7861033565']"
122817161,34.0276574,-118.2696325,,"['122817160', '6805686618', '6816288739', '123183631']"
122827893,34.0230804,-118.2938385,,"['2613081563', '1473199425', '6817053930', '123209600']"
122827894,34.0228968,-118.2959274,,"['5541796228', '122935696', '6805827732', '1771091141']"
122827955,34.0172646,-118.2749893,,"['6816305556', '6816305558', '6816305550']"
122845013,34.0236905,-118.298081,,"['6814958431', '1771091177', '6805054069']"
122855855,34.0317035,-118.2721957,,"['5680945540', '4012693772']"
122855857,34.0310234,-118.2725755,,"['5680945539', '4012693772', '4012693771']"
122855866,34.0252709,-118.2763482,,"['3403035586', '63785502', '4011837227']"
122855868,34.0236085,-118.2773694,,"['5680945532', '63785495', '1841835282']"
122901102,34.0149052,-118.2728229,,"['7874420539', '6817290167', '7874420544']"
122901104,34.0118399,-118.272842,,"['1838284631', '122901106', '1838284633']"
122901106,34.0111227,-118.2728402,,"['122901104', '4019292086', '4019292084']"
122935638,34.0183626,-118.2958599,,"['63068577', '4015405550']"
122935644,34.0181919,-118.2958599,,"['122935647', '123112731', '123112729']"
122935647,34.0173131,-118.2958644,,"['122935644', '2613073703', '123571766', '6801414831']"
122935689,34.0291265,-118.2959179,,"['123178704', '122814472', '122935692']"
122935692,34.0286532,-118.2959186,,"['122935689', '2613117880', '2613117883']"
122935696,34.0219465,-118.2959543,,"['122827894', '6814958402', '6807245746']"
122956976,34.0289499,-118.2660927,,"['3574052741', '6789994795', '6789994791', '6805256746']"
122993638,34.0202522,-118.2716266,,"['6793073226', '33078886', '4012726921']"
122993641,34.0188151,-118.268374,,"['6816929740', '7424270470', '123015380', '123015383']"
122993646,34.0178458,-118.2662229,,"['123076790', '123715918', '7424270470', '1790748072']"
122996001,34.0225789,-118.2659733,,"['6807241415', '7668796165', '123015376']"
123005253,34.0252396,-118.2828524,,"['4399698008', '6813379513', '358850010']"
123005255,34.0236683,-118.283765,,"['6807200376', '6813379427']"
123009680,34.0178453,-118.2731472,,"['6905329551', '123120178', '4026699438']"
123009682,34.0163683,-118.2699612,,"['6905329551', '6807505423', '122654285', '123015384']"
123009684,34.0153927,-118.2677921,,"['6804831742', '6807505426', '67666164', '123380343']"
123012558,34.0292677,-118.2785125,,"['6788499810', '4011837236']"
123015367,34.0251025,-118.2643779,,"['6817275187', '123015369']"
123015369,34.0244179,-118.2648187,,"['2556547563', '123015367', '123015371']"
123015371,34.024304,-118.2648984,,"['6817275189', '123015369', '6807553006']"
123015373,34.0234141,-118.2654469,,"['7668796171', '6807553008', '6807553006', '7561883968']"
123015376,34.0218044,-118.2664448,,"['6807663995', '123367925', '122996001', '123015378']"
123015378,34.0210775,-118.2669371,,"['6807241402', '6807907529', '123015376', '123015379']"
123015379,34.0203009,-118.2674452,,"['6807241409', '123015378', '123015380', '123275302']"
123015380,34.0195758,-118.2679022,,"['123076790', '214470820', '123015379', '122993641']"
123015383,34.0180673,-118.268862,,"['7424270450', '122993641', '6473029423']"
123015384,34.015613,-118.270407,,"['123120181', '123380341', '123009682', '123015386']"
123015386,34.0148775,-118.2709102,,"['441893332', '123545509', '250768851', '123015384', '122634401']"
123044704,34.0302203,-118.2809731,,"['6816193806', '6807439008']"
123044712,34.0254799,-118.2834466,,"['4399698010', '4399698009']"
123053759,34.0141431,-118.2914987,,"['4020099355', '4020099359', '4020099352']"
123053761,34.0141376,-118.2925173,,"['7461410864', '122717003', '6815190433']"
123053763,34.0141356,-118.2947674,,"['122717003', '2613073717', '6815190436']"
123053765,34.0141344,-118.2959172,,"['6815190438', '6815190439', '2613073686', '122684563']"
123058551,34.0120911,-118.2959134,,"['122684563', '6815190442', '6815190443']"
123076780,34.0209343,-118.2711806,,"['6817197869', '4012726922', '214470820']"
123076790,34.0185803,-118.2657399,,"['123715915', '122993646', '123015380', '6805221420']"
123096999,34.0268778,-118.2937337,,"['6813405226', '6813405227', '6813405225']"
123112723,34.0181607,-118.2828119,,"['1837212104', '6813405278']"
123112725,34.0181387,-118.2901256,,"['6813379583', '7023424984', '2193435037', '4015405540']"
123112726,34.018167,-118.2915449,,"['6813379569', '6792034225', '6813379567', '6813379571']"
123112727,34.0181776,-118.2930793,,"['6805827685', '123112729', '4015405544']"
123112729,34.0181847,-118.294418,,"['122935644', '123112727']"
123112731,34.0181919,-118.297731,,"['122935644', '4015405545', '2193439981']"
123112834,34.0183733,-118.2977288,,"['122602812', '4015405550', '270840039']"
123120147,34.0283174,-118.2664655,,"['123161956', '4012726938', '6789994791', '7159714208']"
123120151,34.0265851,-118.2675733,,"['6805603635', '33078887', '4012726936']"
123120153,34.025806,-118.2680628,,"['7861033560', '123120155', '4012726935']"
123120155,34.0257401,-118.2681045,,"['6805824919', '123120153', '4012726934']"
123120160,34.0232924,-118.2697044,,"['6807241418', '4060105089', '122814232']"
123120169,34.0195078,-118.2721052,,"['123797842', '4012726919', '123120172']"
123120172,34.0193635,-118.2722024,,"['7867482516', '123120169', '4012726918']"
123120178,34.0173803,-118.2734378,,"['4026699437', '123009680', '6816305555']"
123120181,34.017092,-118.2736209,,"['123015384', '33078883', '4026699437']"
123120189,34.0140691,-118.27404,,"['122619502', '122634395', '33078880']"
123152289,34.028686,-118.2915568,,"['6813416148', '6813416144', '6813416146']"
123152291,34.0283915,-118.2915522,,"['6813416153', '6813416151', '6813416144']"
123152294,34.0263906,-118.2915491,,"['6792034228', '6816193786', '4015203136']"
123152312,34.0199595,-118.2915538,,"['6792034226', '4015203110', '4015203109', '6814955793']"
123152321,34.0120916,-118.2915009,,"['4020099345', '6792034221', '4020099344']"
123153805,34.0111381,-118.2716105,,"['2557646333', '123732667']"
123153849,34.0147097,-118.2700336,,"['1773954380', '1758031815', '250768852']"
123153851,34.011131,-118.2722543,,"['2557646333', '122634403', '4019292087']"
123161907,34.0315751,-118.2738295,,"['5680945553', '4011837239', '6787830192']"
123161956,34.0287907,-118.2675246,,"['7864621785', '123120147', '123250775', '4011837233']"
123161958,34.0292589,-118.2685828,,"['5680945529', '7864610974', '1873055980', '5680945531']"
123161961,34.0294511,-118.2690193,,"['5680945529', '4012693769', '1873056015']"
123166179,34.0118475,-118.2872504,,"['1855173116', '1855147948']"
123178704,34.0291244,-118.2970119,,"['122935689', '123178706', '6807599910']"
123178706,34.0291223,-118.2980958,,"['123178704', '122659040', '6807599913']"
123178841,34.0257995,-118.2775312,,"['6813513575', '6813565313', '4835551103']"
123178871,34.028386,-118.2841469,,"['6813405266', '2613117906']"
123178873,34.0284739,-118.2874501,,"['6816193782', '6813405267']"
123178876,34.028393,-118.2882305,,"['6987230635', '6816193783', '2613117895']"
123178891,34.0286605,-118.293735,,"['2613117884', '7771782319', '123178896']"
123178896,34.0286572,-118.2948204,,"['2613117913', '2613117869', '123178891', '2613117883']"
123182692,34.0118515,-118.2901339,,"['1855150091', '1855137491', '6814481787']"
123183628,34.0262893,-118.2691377,,"['7861033560', '6807409118', '7861033565', '7861033568']"
123183631,34.0267659,-118.2702106,,"['6807409118', '6788584378', '122817161', '4012792182']"
123195186,34.0209628,-118.292165,,['6816819731']
123195187,34.0209699,-118.2977342,,"['122779114', '6799196824', '123209602', '213332107']"
123209600,34.0221516,-118.2938317,,"['122827893', '6814958401']"
123209602,34.0218792,-118.2977289,,"['6805827729', '6814958402', '123195187']"
123241961,34.0281597,-118.2760241,,"['6813565323', '6813565322', '6813565326', '5680945537']"
123241963,34.0240793,-118.2784251,,"['2613157013', '5680945551']"
123241965,34.0235169,-118.2789765,,"['5690152761', '5690152760', '6813379501']"
123241967,34.0229436,-118.2791567,,"['5690152762', '4835551244']"
123241977,34.0212019,-118.2804537,,"['6813379496', '4399914059', '4015372479']"
123250775,34.029412,-118.267107,,"['1873055980', '3574052741', '6788017707', '123161956']"
123254962,34.0258269,-118.27082,,"['4012792182', '4012792181', '5680945547', '7071965737']"
123254964,34.0219217,-118.2734196,,"['123672756', '7883578761', '1732340074', '122719192']"
123254974,34.0183093,-118.2757627,,"['63765355', '7211629026', '1732243772']"
123254978,34.014624,-118.2781317,,"['6819170166', '6471706820', '1732243580', '6819170170']"
123258013,34.0273482,-118.2855404,,"['6813360950', '1849116061']"
123268462,34.0213327,-118.2755688,,"['123268465', '123281101', '123268493']"
123268465,34.0219659,-118.2769729,,"['123292098', '123292100', '123268462']"
123268491,34.01987,-118.2733168,,"['2613066327', '6807241405', '1732340091', '4011837221']"
123268493,34.0209913,-118.2757885,,"['7424313398', '123268462', '4012864450']"
123275302,34.019307,-118.2652837,,"['123715915', '123715912', '123015379', '6807907533']"
123280934,34.0202463,-118.2761955,,"['4012759746', '4012759745', '441893924', '441893821']"
123280946,34.0151693,-118.279336,,"['6471706820', '269635814', '6805760716', '6805760719']"
123281095,34.0264743,-118.2722791,,"['3663661789', '3663661790', '5680945535', '4012864453']"
123281101,34.021678,-118.275342,,"['7883578758', '1732340086', '123268462']"
123286557,34.0111445,-118.2679687,,"['7281805576', '4019323628', '7768704795']"
123292045,34.0208481,-118.277558,,"['6939732877', '123292100', '4012759747']"
123292047,34.0193072,-118.2784968,,"['4818896620', '6939732877', '1837202706']"
123292049,34.0180745,-118.2787504,,"['4399914020', '122470423', '7249047942']"
123292076,34.0270789,-118.2736267,,"['6807381232', '1614922696', '5680945528']"
123292098,34.0231182,-118.2764565,,"['123268465', '1924088250']"
123292100,34.0208945,-118.2776687,,"['123268465', '123292045', '1378231753']"
123295518,34.0297019,-118.2969934,,['122659038']
123295528,34.0256191,-118.2970033,,"['2613117914', '6814958417']"
123302797,34.0264743,-118.2653411,,"['1837323605', '6818460803']"
123316793,34.0110741,-118.2663491,,"['1773954366', '4019323628', '4025085214']"
123318572,34.0256635,-118.2882353,,"['5565967545', '6813405206']"
123327627,34.0247538,-118.281786,,"['4399697999', '6813379521', '6807200379']"
123327636,34.0245414,-118.2813394,,"['6807200379', '4141790934']"
123327639,34.0230168,-118.2823185,,"['6813379460', '6813379459', '6813379463']"
123358887,34.0255189,-118.2980869,,"['6814958419', '6814958420', '6814958418', '6814958417']"
123367925,34.0208259,-118.2642961,,"['123715912', '123015376']"
123373478,34.0141417,-118.2671939,,"['123373480', '123380346', '67666219']"
123373480,34.011144,-118.2691273,,"['123373478', '123373486', '4019300150']"
123373486,34.0111458,-118.2692783,,"['2557646341', '123373480']"
123380341,34.0149147,-118.2688738,,"['123732661', '123015384', '123380343']"
123380343,34.0146346,-118.2682802,,"['123009684', '123380341', '123380346']"
123380346,34.0145476,-118.268071,,"['7874191229', '123380343', '123373478']"
123408722,34.0302874,-118.2804853,,"['5690152759', '2613119050']"
123408727,34.0307614,-118.2821858,,"['6816193714', '2613117886']"
123408740,34.0317181,-118.2839972,,"['6816193690', '6816193694', '6816193692', '6816193688']"
123545509,34.0148938,-118.2716452,,"['7874420544', '123015386']"
123571748,34.0141189,-118.2769901,,"['6819170163', '6819170166', '4015477529', '4015477528']"
123571763,34.0173081,-118.2930807,,"['6437589506', '6805827734', '123571771']"
123571766,34.0173135,-118.2948991,,"['7477582821', '122935647', '6815190437']"
123571771,34.0168171,-118.2930776,,"['7871971117', '123571763', '7871971114']"
123587177,34.0199597,-118.2944316,,"['1473199418', '123587178', '1473199438', '1473199422']"
123587178,34.0199675,-118.2977281,,"['123587177', '213332107', '1473199427']"
123660645,34.0315851,-118.294256,,"['6818427905', '7544324483', '6818427907']"
123660671,34.0241553,-118.2938238,,"['4583263551', '123706436', '1473199412', '2613081563']"
123672756,34.0214318,-118.2723167,,"['6807241423', '123254964', '4011837223', '1732340091']"
123694604,34.0246894,-118.2980837,,"['6814958420', '6814958429']"
123706432,34.0241784,-118.2924588,,['1878000349']
123706436,34.024154,-118.2948595,,"['123660671', '6814958413', '1473199417']"
123715912,34.0200639,-118.2647835,,"['6807907529', '123367925', '123275302']"
123715915,34.0187446,-118.2656363,,"['123275302', '123076790']"
123715918,34.017081,-118.2667057,,"['7424270450', '122993646', '67666164', '1790748069']"
123715930,34.0111452,-118.2702372,,"['122634411', '123715938', '2557646341']"
123715938,34.0111381,-118.2704432,,"['2557646331', '123715930']"
123732661,34.0145822,-118.2690864,,"['123380341', '122634409', '1758031816']"
123732667,34.0111452,-118.2712415,,"['122634409', '123153805', '2557646331']"
123797842,34.0190219,-118.2710342,,['123120169']
150960208,34.0311237,-118.2800746,Saint James Park,['6816193804']
213332060,34.0263906,-118.2927143,,['4583266241']
213332069,34.0254156,-118.2948663,,"['6813405224', '1473199417']"
213332107,34.0204497,-118.2977235,,"['123195187', '123587178']"
213332111,34.0274283,-118.2861509,,"['441895337', '6807243576', '1849116058']"
213431695,34.018143,-118.2890585,,"['7023430193', '4015405540']"
213431822,34.0181416,-118.2875493,,"['7023430193', '7023424981']"
214306755,34.0306686,-118.2741731,,"['7053658309', '6816179450']"
214470792,34.0199372,-118.279713,,"['1841835270', '5472460620']"
214470797,34.0273726,-118.2834772,,"['4399698025', '4399698026']"
214470806,34.0225331,-118.2747948,,"['6817197868', '7867127941', '1732340086']"
214470820,34.0210179,-118.2711219,,"['123015380', '4012726923', '123076780']"
214470857,34.0274911,-118.2746851,,"['1400581339', '269633699']"
214470964,34.0241794,-118.276005,,"['1378231748', '122719201']"
216153383,34.0110904,-118.2804322,,"['7396914904', '4020099339', '6788332705']"
216155217,34.0175833,-118.2826915,,"['6820935908', '6813411589', '6813411590']"
216155292,34.0166303,-118.2740976,,"['122619489', '4343588871']"
250768851,34.0147355,-118.2706186,,"['123015386', '1758031815']"
250768852,34.0147048,-118.2696726,,"['123153849', '1758031816']"
269633015,34.0170366,-118.2792383,,"['269633016', '269633046']"
269633016,34.0169743,-118.2790249,,"['7249047931', '269633015']"
269633017,34.0169581,-118.2788749,,"['269633018', '7249047931']"
269633018,34.01694,-118.2787168,,"['269633019', '269633017']"
269633019,34.0169127,-118.2785452,,"['6820972484', '269633018']"
269633021,34.0168198,-118.2782814,,"['6820972482', '6820972484', '6820972480', '6820982886']"
269633045,34.0178208,-118.2810919,,"['6820972453', '6820972456', '6820972454', '269633572']"
269633046,34.017066,-118.2793886,,"['269633015', '1932939400', '6820972476', '6820972473', '6820972474']"
269633216,34.0222442,-118.2776839,,"['269633657', '1614922635', '5768963638']"
269633240,34.020598,-118.2789782,,"['1614922629', '1873068892']"
269633241,34.0195519,-118.2796348,,"['1873068892', '4015405554']"
269633242,34.0187069,-118.2801843,,"['4015405554', '269633243']"
269633243,34.0186292,-118.2802396,,"['269633242', '269633281']"
269633270,34.0184196,-118.280629,,"['1837202712', '4015405553', '6820972464', '269633282', '6820972462']"
269633281,34.0185613,-118.2803252,,"['269633243', '269633282']"
269633282,34.0185046,-118.2804216,,"['269633281', '269633270']"
269633572,34.0176763,-118.2807601,,"['269633045', '1377766078', '6820982920']"
269633656,34.0233055,-118.2771723,,"['5768963617', '5768963618']"
269633657,34.022639,-118.2775051,,"['5768963618', '269633216']"
269633658,34.0213013,-118.2782294,,"['5768963621', '5768963639']"
269633660,34.0194385,-118.2794441,,"['5768963621', '5768963640']"
269633662,34.0181757,-118.2802368,,"['6815813015', '6815813017', '5768963641']"
269633663,34.01747,-118.2805692,,"['5768963641', '269633664']"
269633664,34.0168034,-118.2807871,,"['269633663', '5768963644']"
269633665,34.0161947,-118.2809796,,"['5768963644', '5768963645']"
269633666,34.0156518,-118.2811038,,"['5768963645', '5768963646']"
269633667,34.0146495,-118.2812433,Martin Luther King Jr Blvd  Coliseum,"['6815813004', '1841883212', '1841883210']"
269633669,34.0137527,-118.2812725,,"['5768963649', '1841883212']"
269633699,34.0267365,-118.274993,,"['214470857', '269633700']"
269633700,34.0260377,-118.2753975,,"['269633699', '269633701']"
269633701,34.0252213,-118.2759801,,"['269633700', '269633702']"
269633702,34.0242468,-118.276598,,"['269633701', '269633703']"
269633703,34.0238052,-118.2768698,,"['269633702', '5768963617']"
269635094,34.0112405,-118.2807666,,['348123482']
269635096,34.0135428,-118.2806853,,"['1841857543', '348123482']"
269635097,34.0147212,-118.2806235,,"['5768963635', '5768963631']"
269635100,34.015782,-118.2804689,,"['6815813009', '4020099364', '6815813008']"
269635101,34.0172226,-118.2800215,,"['5768963630', '6815813010']"
269635103,34.0186207,-118.2793216,,"['5768963629', '5768963625']"
269635104,34.0195634,-118.278776,,"['5768963625', '5768963624']"
269635105,34.0211116,-118.2777881,,"['5768963624', '5768963623']"
269635137,34.0234078,-118.2765576,,"['269636426', '5768963619', '1613487066']"
269635139,34.0247803,-118.2758685,,"['1613487066', '269635140']"
269635140,34.0256339,-118.2753792,,"['269635139', '1400581340']"
269635411,34.0208342,-118.2778364,,"['269635440', '1614922628']"
269635440,34.0210773,-118.2777083,,"['269635411', '1613487058']"
269635507,34.0168962,-118.2794961,,"['4015405536', '6820972474']"
269635544,34.0155041,-118.2803078,,"['1841857545', '269635546']"
269635546,34.015846,-118.2801634,,"['269635544', '6819220738']"
269635681,34.0134689,-118.2799454,,"['269635727', '6471706819']"
269635682,34.0136752,-118.2804347,,"['1837206577', '269635727', '358850012']"
269635684,34.0139242,-118.2813101,,"['269635717', '1837206577']"
269635685,34.0140177,-118.281948,,"['7867091026', '4020099354']"
269635717,34.0139805,-118.2815754,,"['269635895', '1870787415', '4020099354', '269635684']"
269635727,34.0136233,-118.2803115,,"['269635681', '269635682', '592547146', '6805760713']"
